country,iso_code,co2,co2_per_capita,population
Afghanistan,AFG,10.170,0.251,40578847
Africa,,1459.114,1.010,1445862695
Africa (GCP),,1459.103,,
Albania,ALB,4.498,1.591,2827614
Algeria,DZA,192.779,4.239,45477391
Andorra,AND,0.423,5.311,79722
Angola,AGO,21.089,0.592,35635028
Anguilla,AIA,0.143,10.062,14202
Antarctica,ATA,0.000,,
Antigua and Barbuda,ATG,0.642,6.913,92850
Argentina,ARG,183.768,4.047,45407904
Armenia,ARM,7.699,2.672,2880880
Aruba,ABW,0.888,8.242,107792
Asia,,22237.812,4.685,4746329727
Asia (GCP),,19455.877,,
Asia (excl. China and India),,7694.873,4.059,
Australia,AUS,384.078,14.659,26200987
Austria,AUT,61.454,6.780,9064678
Azerbaijan,AZE,41.175,3.999,10295307
Bahamas,BHS,2.962,7.451,397542
Bahrain,BHR,37.827,24.668,1533460
Bangladesh,BGD,102.147,0.603,169384891
Barbados,BRB,1.315,4.658,282324
Belarus,BLR,57.121,6.227,9173240
Belgium,BEL,88.915,7.638,11641814
Belize,BLZ,0.724,1.797,402741
Benin,BEN,6.092,0.443,13759507
Bermuda,BMU,0.531,8.194,64772
Bhutan,BTN,1.550,1.984,780921
Bolivia,BOL,23.488,1.945,12077156
Bonaire Sint Eustatius and Saba,BES,0.147,5.115,28654
Bosnia and Herzegovina,BIH,20.743,6.472,3204802
Botswana,BWA,7.396,3.031,2439895
Brazil,BRA,480.058,2.283,210306411
British Virgin Islands,VGB,0.186,4.844,38346
Brunei,BRN,12.237,26.872,455374
Bulgaria,BGR,46.932,6.876,6825862
Burkina Faso,BFA,6.542,0.291,22509038
Burundi,BDI,0.878,0.066,13321102
Cambodia,KHM,20.865,1.213,17201721
Cameroon,CMR,9.792,0.354,27632770
Canada,CAN,547.658,14.107,38821259
Cape Verde,CPV,0.598,1.150,519750
Central African Republic,CAF,0.377,0.074,5098038
Central America (GCP),,178.535,,
Chad,TCD,2.800,0.152,18455319
Chile,CHL,85.744,4.385,19553033
China,CHN,11711.808,8.218,1425179562
Christmas Island,CXR,0.000,,
Colombia,COL,89.437,1.729,51737944
Comoros,COM,0.532,0.637,834191
Congo,COG,8.728,1.446,6035104
Cook Islands,COK,0.077,5.218,14747
Costa Rica,CRI,8.010,1.576,5081764
Cote d'Ivoire,CIV,14.504,0.477,30395004
Croatia,HRV,17.585,4.501,3907031
Cuba,CUB,23.259,2.103,11059822
Curacao,CUW,2.209,11.920,185350
Cyprus,CYP,7.071,5.311,1331376
Czechia,CZE,95.040,8.905,10673216
Democratic Republic of Congo,COD,5.892,0.058,102396974
Denmark,DNK,29.094,4.929,5902901
Djibouti,DJI,0.550,0.484,1137101
Dominica,DMA,0.165,2.466,66847
Dominican Republic,DOM,31.225,2.780,11230734
East Timor,TLS,0.670,0.489,1369299
Ecuador,ECU,42.066,2.360,17823900
Egypt,EGY,249.899,2.219,112618252
El Salvador,SLV,7.913,1.260,6280316
Equatorial Guinea,GNQ,7.497,4.157,1803549
Eritrea,ERI,0.718,0.211,3409450
Estonia,EST,11.966,8.863,1350093
Eswatini,SWZ,1.028,0.844,1218921
Ethiopia,ETH,16.960,0.135,125384285
Europe,,5095.635,6.813,748314268
Europe (GCP),,5095.634,,
Europe (excl. EU-27),,2358.689,7.893,
Europe (excl. EU-28),,2047.571,8.878,
European Union (27),,2736.946,6.094,449113463
European Union (28),,3048.064,5.892,
Faroe Islands,FRO,0.723,13.378,54039
Fiji,FJI,1.389,1.510,919428
Finland,FIN,36.337,6.525,5569300
France,FRA,295.304,4.456,66277412
French Polynesia,PYF,0.887,3.162,280388
Gabon,GAB,5.783,2.379,2430750
Gambia,GMB,0.808,0.306,2636472
Georgia,GEO,12.000,3.162,3794782
Germany,DEU,667.843,7.942,84086227
Ghana,GHA,20.745,0.626,33149152
Greece,GRC,57.609,5.533,10412481
Greenland,GRL,0.587,10.483,56014
Grenada,GRD,0.342,2.928,116928
Guatemala,GTM,18.913,1.060,17847877
Guinea,GIN,4.052,0.288,14055136
Guinea-Bissau,GNB,0.344,0.164,2105535
Guyana,GUY,4.397,5.351,821638
Haiti,HTI,2.870,0.250,11503603
High-income countries,,14274.797,10.153,1410112397
Honduras,HND,11.742,1.122,10463880
Hong Kong,HKG,30.764,4.121,7465913
Hungary,HUN,45.267,4.674,9684308
Iceland,ISL,3.598,9.458,380368
India,IND,2831.132,1.986,1425423209
Indonesia,IDN,758.021,2.719,278830527
International aviation,,407.078,,
International shipping,,558.591,,
Iran,IRN,767.178,8.570,89524247
Iraq,IRQ,217.644,4.939,44070556
Ireland,IRL,36.676,7.177,5110015
Israel,ISR,62.267,6.840,9103143
Italy,ITA,340.115,5.705,59619106
Jamaica,JAM,7.908,2.785,2839150
Japan,JPN,1029.645,8.237,124997585
Jordan,JOR,22.428,1.992,11256269
Kazakhstan,KAZ,274.346,13.694,20034612
Kenya,KEN,20.544,0.379,54252458
Kiribati,KIR,0.070,0.534,130483
Kosovo,,8.569,4.988,1717950
Kuwait,KWT,115.849,25.242,4589514
Kuwaiti Oil Fires,,,,
