"REF_DATE","GEO","DGUID","Type of currency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-05-04","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","98.84069746","","","t","8"
"1981-05-05","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","98.78408343","","","t","8"
"1981-05-06","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","98.85075267","","","t","8"
"1981-05-07","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.03018677","","","t","8"
"1981-05-08","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","98.98224119","","","t","8"
"1981-05-09","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","0.00000000","","","t","8"
"1981-05-10","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","0.00000000","","","t","8"
"1981-05-11","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.06824047","","","t","8"
"1981-05-12","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.19951599","","","t","8"
"1981-05-13","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.30565203","","","t","8"
"1981-05-14","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.53118834","","","t","8"
"1981-05-15","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","99.51661190","","","t","8"
"1981-05-16","Canada","2021A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI)","Index, 1992=100","173","units","0","v111666250","1.27","0.00000000","","","t","8"
