"REF_DATE","GEO","DGUID","Trade","Basis","Seasonal adjustment","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","89613.2","","","","1"
"2001-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","86447.4","","","","1"
"2001-10","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","84187.2","","","","1"
"2002-01","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","85645.5","","","","1"
"2002-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","88598.1","","","","1"
"2002-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","91008.3","","","","1"
"2002-10","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","91377.5","","","","1"
"2003-01","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","90483.8","","","","1"
"2003-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","85321.2","","","","1"
"2003-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","82859.5","","","","1"
"2003-10","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","84038.7","","","","1"
"2004-01","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","85297.2","","","","1"
"2004-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","91893.0","","","","1"
"2004-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","93997.0","","","","1"
"2004-10","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","92089.1","","","","1"
"2005-01","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","94846.6","","","","1"
"2005-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","96624.3","","","","1"
"2005-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","97172.9","","","","1"
"2005-10","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","99196.5","","","","1"
"2006-01","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","98464.0","","","","1"
"2006-04","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","101335.3","","","","1"
"2006-07","Canada","2021A000011124","Import","Balance of payments","Seasonally adjusted","All countries","Dollars","81","millions","6","v1001838583","1.1.2.2.1","102219.7","","","","1"
