Date,Property,Unit,Category,Amount,Paid?,Vendor,Notes
2022/01/01,Danforth Triplex,Main,Rent,"$2,150.00",yes,,
2022-01-03, Danforth Triplex ,Upper,Rent,2400,no,,
2022-01-05,Danforth Triplex,Lower,Rent,1650,Yes,,
2022-01-01,Leslieville Fourplex,Unit 1,Rent,"$1,900.00",Y,,
2022-01-01,Leslieville Fourplex,Unit 2,Rent,1950,Y,,
2022-01-02,Leslieville Fourplex,Unit 3,Rent,2050,Y,,
03/01/2022,Leslieville Fourplex,Unit 4,Rent,2250.00,Yes,,
2022-01-03,Parkdale Walk-Up,Unit 1,Rent,"$1,550.00",Y,,
2022-01-01,Parkdale Walk-Up,Unit 2,Rent,1595.00,N,,
2022-01-03,Parkdale Walk-Up,Unit 3,Rent,1640.00,no,,
2022-01-02,parkdale walk-up,Unit 4,Rent,1685,yes,,
2022-01-02,Parkdale Walk-Up,Unit 5,Rent,1730.00,Yes,,
"Jan 1, 2022",Parkdale Walk-Up,Unit 6,Rent,1775,Y,,
2022-01-05,Parkdale Walk-Up,Unit 7,Rent,1820,Y,,
03/01/2022,Parkdale Walk-Up,Unit 8,RENT,1865.00,N,,
2022-01-01,PARKDALE WALK-UP,Unit 9,Rent,1910.00,Y,,
2022/01/03,Parkdale Walk-Up,Unit 10,Rent,1955,Y,,
2022-01-01,Parkdale Walk-Up,Unit 11,Rent,"$2,000.00",Yes,,
01/01/2022,Parkdale Walk-Up,Unit 12,Rent,2045.00,Y,,
11/01/2022,Parkdale Walk-Up,Unit 5,Plumbing,276.96,Yes,Beaches Plumbing Co.,Cleared bathroom drain
2022-01-27,danforth triplex,Upper,Plumbing,218.10,Y,Beaches Plumbing Co.,Fixed running toilet
2022-01-27,danforth triplex,Upper,Plumbing,218.10,Y,Beaches Plumbing Co.,Fixed running toilet
2022-01-17,Danforth Triplex,Lower,Plumbing,299.38,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2022-01-17,Danforth Triplex,Common area,Pest Control,149.59,Y,Queen West Pest Control,"Mice treatment, basement"
2022-01-04,Leslieville Fourplex,Common area,Cooling,427.92,TRUE,Don Valley HVAC,"AC not cooling, recharged"
2022-01-26,Parkdale Walk-Up,Unit 7,Plumbing,277.12,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
03/01/2022,LESLIEVILLE FOURPLEX,Unit 1,Heating,585.54,Y,Don Valley HVAC,Replaced furnace igniter
2022-01-23,Parkdale Walk-Up,Unit 1,Appliance,160.23,Yes,Riverdale Appliance Repair,Dryer belt replaced
